06-07-2009 1 5921444 10074 7017 1421090 3469 2561
13-07-2009 2 7134949 12201 8968 1604444 4339 3294
20-07-2009 3 7021323 11076 7935 1573556 4057 3046
27-07-2009 4 7249158 11220 8116 1599250 4073 3077
03-08-2009 5 7414949 11862 8411 1596605 4194 3172
10-08-2009 6 7389984 12344 9288 1575251 4189 3170
17-08-2009 7 7533292 12021 9049 1619278 4274 3252
24-08-2009 8 7770905 12311 8977 1695685 4286 3241
31-08-2009 9 7898276 12248 9159 1723955 4243 3204
07-09-2009 10 7786603 11584 8460 1708203 4198 3099
14-09-2009 11 8161768 12116 8928 1770174 4397 3324
21-09-2009 12 8448092 12655 9220 1795824 4531 3431
28-09-2009 13 9014529 13553 9856 1862886 4739 3631
05-10-2009 14 9191330 12724 9276 1902925 4658 3507
12-10-2009 15 7244849 11678 8510 1616562 3937 2988
19-10-2009 16 8257181 12917 9259 1799602 4478 3337
26-10-2009 17 8586625 14083 10251 1813679 4851 3643
02-11-2009 18 9407348 16248 11868 1949690 5433 4167
09-11-2009 19 9279579 16944 12634 1915176 5500 4216
16-11-2009 20 8205779 16170 12099 1767036 5273 4004
23-11-2009 21 8577893 16344 12233 1812417 5474 4220
30-11-2009 22 8755242 17108 12777 1814365 5591 4277
07-12-2009 23 8934130 16066 12071 1841624 5421 4144
14-12-2009 24 8689989 17219 12640 1790655 5696 4339
21-12-2009 25 8750023 17639 12701 1770013 5645 4271
28-12-2009 26 9163706 19727 14714 1798049 6450 5023
04-01-2010 27 9025996 19860 14820 1809940 6400 4908
11-01-2010 28 8855434 18586 14096 1775564 6020 4662
18-01-2010 29 8981944 19017 14175 1800914 6098 4739
25-01-2010 30 9292234 18968 14370 1831041 6279 4875
01-02-2010 31 9157469 23101 17820 1800685 7061 5654
08-02-2010 32 8805854 22659 17318 1744808 6936 5501
15-02-2010 33 9130437 23101 18003 1791034 7141 5664
22-02-2010 34 9191499 23529 18546 1807665 6993 5605
01-03-2010 35 9565508 23458 17795 1914039 7334 5884
08-03-2010 36 9554130 23549 17275 1954988 7481 5843
15-03-2010 37 9627169 25006 19250 1949330 7638 6006
22-03-2010 38 9727868 24544 18473 1953230 7607 5992
29-03-2010 39 9897676 25214 19116 1973540 7759 6146
05-04-2010 40 10138986 27096 20183 2047537 8560 6757
12-04-2010 41 9195504 24716 18752 1879531 7576 5980
19-04-2010 42 8559642 24555 18619 1839120 7393 5892
26-04-2010 43 8717684 23530 17477 1832681 7430 5762
03-05-2010 44 9168434 23407 17312 1901568 7426 5752
10-05-2010 45 8235776 22953 17627 1624749 6671 5267
17-05-2010 46 8282343 24516 18604 1779009 7531 5939
24-05-2010 47 8692031 26046 19908 1818449 7766 6203
31-05-2010 48 9076845 28323 21430 1855974 8392 6564
07-06-2010 49 8358006 25251 18719 1717537 7483 5869
14-06-2010 50 8166844 24321 18256 1683611 7461 5838
21-06-2010 51 8113836 24441 17927 1637646 7673 5920
28-06-2010 52 7599162 23689 17906 1385550 6466 5024
05-07-2010 53 5212515 15665 11899 1002638 4328 3386
12-07-2010 54 7528523 23582 17986 1445256 6697 5259
19-07-2010 55 7878883 23050 16958 1543496 7063 5499
26-07-2010 56 8065776 23284 17134 1561159 7235 5515
02-08-2010 57 4614723 13202 9509 948681 4286 3271
09-08-2010 58 4106299 11125 8169 838043 3831 2951
16-08-2010 59 7255234 20423 14975 1378922 6771 5159
23-08-2010 60 7562972 22480 16347 1442905 6765 5227
30-08-2010 61 7930343 22761 16960 1513816 7073 5537
06-09-2010 62 8045312 21754 16111 1531728 7053 5473
13-09-2010 63 8219803 22746 16791 1538125 7315 5730
20-09-2010 64 8707511 23811 17486 1584442 7580 5922
27-09-2010 65 8650586 23619 17264 1568184 7437 5792
04-10-2010 66 8651329 23573 17180 1587041 7540 5868
11-10-2010 67 8732091 23641 17027 1606275 7385 5735
